CALLSIGN,RELATIONSHIP_MANAGER_NAME,DBA,DOMAIN_ROOT,BENEFICIAL_OWNERS
1-commerce,Shelley Golan,1 Commerce Inc.,,
112-capital,Puya Vossoughi,"11.2 Capital II, L.P.",,
112-capital-i-lp,Puya Vossoughi,"11.2 Capital I, L.P.",,
112-capital-management-llc,Puya Vossoughi,"11.2 Capital Management, LLC",,
11x,Shelley Golan,11x,,
123see,Kelly Caviglia,123 SEE,,
135-medical-pc,Kelly Caviglia,"135 Medical, PC",,
180-life-sciences-corp,Shadman Sakib,ETHZilla Corporation,,
180-spv-treasury-vehicle-i-llc,Shadman Sakib,"180 SPV Treasury Vehicle I, LLC",,
21shares-us-llc,Shadman Sakib,21Shares US LLC,,
2way-interactive-inc,Leke Allen,2WAY Interactive Inc,,
307-capital-management-llc,Sophia Wang,307 Capital Management LLC,,
32health-inc,Kelly Caviglia,32Health Inc.,,
360-media-holdings-inc,Shelley Golan,"360 Media Holdings, Inc.",,
4dv-ai,Ramit Singh,4DV.ai,,
50y,Puya Vossoughi,Fifty Years Industries LLC,,
525-fund-i-lp,Puya Vossoughi,525 Fund I LP,,
525-general-partner-llc,Puya Vossoughi,525 General Partner LLC,,
6crickets,Shelley Golan,6crickets Inc.,,
7thavenue,Shelley Golan,"Grafiti Home, Inc",,
97labs,Will Mitchell,97 Labs Inc.,,
99vc,Puya Vossoughi,99VC,,
a1base-inc,Ramit Singh,A1Base Inc.,,
a9r7,Shadman Sakib,A9R7 Inc.,,
aalo,Will Mitchell,Aalo Holdings Inc.,,
aampe,Leke Allen,Aampe,,
aavaz,Ramit Singh,Enterpret Inc.,,
abacus-intelligence,Shelley Golan,Abacus Intelligence,,
abode-inc,Ramit Singh,Abode,,
abri,Shelley Golan,Quilt,,
acadian-ventures-fund-ii-lp,Puya Vossoughi,"Acadian Ventures Fund II, L.P.",,
acadian-ventures-management-co-llc,Puya Vossoughi,Acadian Ventures Management Co LLC,,
acasia-ventures-group,Puya Vossoughi,Acasia Ventures Group,,
accio,Will Mitchell,Accio DBA Jump,,
accord,Will Mitchell,"Ivo AI, Inc.",,
accrual,Shadman Sakib,Accrual,,
ack-sales-llc,Leke Allen,ACK SALES LLC,,
acrev-solutions-llc,Shelley Golan,MANISH SINGH,,
act-now-project,Sophia Wang,The Act Now Project,,
actnow,Sophia Wang,Act Now Coalition,,
actuate-ventures,Puya Vossoughi,Actuate Ventures,,
adamo,Leke Allen,Holdings BPO,,
adaptional,Leke Allen,"Adaptional, Inc.",,
adaptive-computer-inc,Sophia Wang,"Adaptive Computer, Inc.",,
adcentral,Sophia Wang,Adcentral,,
addchat,Will Mitchell,Addchat,,
adept,Will Mitchell,Adept Labs,,
adhvanguard,Leke Allen,ADH VANGUARD LLC,,
adiahealth,Leke Allen,Adia Health,,
administrative-tasks-inc,Kelly Caviglia,Administrative Tasks Inc,,
adonis-health,Shelley Golan,Adonis Health,,
adyton,Will Mitchell,Adyton,,
aeon-industrial-inc,Shelley Golan,Aeon Industrial Inc.,,
aequita-bioworks-inc,Kelly Caviglia,Aequita Bioworks Inc,,
aequita-pharmacy,Kelly Caviglia,Aequita Corporation,,
aequita-pharmacy-llc,Kelly Caviglia,Aequita Pharmacy,,
aequita-semiworks,Kelly Caviglia,Aequita Semiworks Inc,,
aequitasemiworks,Kelly Caviglia,Aequita SemiWorks,,
aerodome,Shelley Golan,Aerodome,,
after,Shelley Golan,After.com,,
age-bold-inc,Kelly Caviglia,Bold,,
agentic-marketing-technologies-limited,Shelley Golan,Agentic Marketing Technologies Limited,,
agentiqflow,Will Mitchell,Agentiqflow,,
agentsy,Ramit Singh,Substrate,,
agi-inc,Will Mitchell,AGI Inc,,
agora-finance,Shadman Sakib,Agora Finance,,
